"name","location","category","movement", isTemporary,"imageLink"
"Swan Lake","London Coliseum, St Martin's Ln, London, UK","Ballet and Theatre","Romanticism",true,"https://i1.sndcdn.com/artworks-000611708353-qh2fmo-t500x500.jpg"
"The Phantom of the Opera","Her Majesty's Theatre, London, UK","Ballet and Theatre","ROMANTICISM",true,"https://cdn.londonandpartners.com/-/media/images/london/visit/whats-on/theatre/the-phantom-of-the-opera/poto_visit-london_1920x1080.jpg?mw=640&hash=69678390596E8321E25E05220FC15549DCE3E6AB"
"Ludovico Einaudi - La Seine Musicale","La Seine Musicale, Île Seguin, Boulogne-Billancourt, Franța","Music","Contemporary",true,"https://www.laseinemusicale.com/app/uploads/2022/06/ludovico-einaudi-la-seine-musicale-2.png"
"George Enescu International Festival","Romanian Athenaeum, 050204, Bucharest, Romania","MUSIC","CONTEMPORARY",true,"https://www.ziarulmetropolis.ro/wp-content/uploads/2020/10/slide-1.jpg"
"Mendelssohn’s Italian","The Bridgewater Hall, Manchester, UK","MUSIC","Romanticism",true,"https://i2-prod.manchestereveningnews.co.uk/incoming/article20728742.ece/ALTERNATES/s1200b/1_Capture-2JPG.jpg"
"Vienna New Year's Concert","Golden Hall of the Vienna State Opera, Austria","Music","Romanticism",true,"https://pbs.twimg.com/media/Ex4n24YWYAIAskV.jpg:large"
"Festival-Tournee","Herbert-von-Karajan-Str. 1, 10785 Berlin, Germany","Music","ROMANTICISM",true,"https://nhaccodien.vn/wp-content/uploads/2019/01/Berlin-Philharmonic.jpg"
"Cannes Film Festival","Palace of Festivals and Congresses of Cannes, France","Cinema","Contemporary",true,"https://malaya.com.ph/wp-content/uploads/2020/03/Cannes.jpg"
"The National Museum of Cinema","Via Montebello, 20, 10124 Torino, Italy","CINEMA","CONTEMPORARY",false,"https://c8.alamy.com/comp/HGNBM9/tourists-visit-national-museum-of-cinema-in-turin-italy-HGNBM9.jpg"
"Art Safari","Pavilionului de Artă București","PAINTING","CONTEMPORARY",true,"https://www.artsafari.ro/wp-content/uploads/2022/08/cover-editia-10.png"
