title,artistNames,description,location,year,artCategory,imageUrl,externalUrl,artObjectType,startTime,endTime,isTemporary,status,movementName
"Chateau de Chambord","Domenico da Cortona","","Chateau, 41250, Chambord, France",1547,"ARCHITECTURE","https://royal-connection.fr/wp-content/uploads/2017/05/excursion-chateau-chambord.jpg","","VENUE","","",false,"","RENAISSANCE"
"Notre-Dame de Paris","Jean de Chelles","","Notre-Dame, 75004, Paris, France",1345,"ARCHITECTURE","https://www.piatraonline.ro/userfiles/19370a59-92cf-454a-b230-f7886006c901/Image/2_v120.jpg","","VENUE","","",false,"","GOTHIC"
"Casa Batllo","Antoni Gaudí","","Pg. de Gracia, 43, 08007, Barcelona, Spain",1912,"ARCHITECTURE","https://www.artmajeur.com/medias/hd/r/a/radu-bercan/artwork/13405976_dsc05184af.jpg","","VENUE","","",false,"","ARTNOUVEAU"
"Palacio da Pena","Wilhelm Ludwig von Eschwege, Nicolau Pires","","Estrada da Pena, 2710, Sintra, Portugal",1854,"ARCHITECTURE","https://tourscanner.com/blog/wp-content/uploads/2019/05/Pena-Palace-tickets-1.png","","VENUE","","",false,"","ROMANTICISM"
"Chateau d'Amboise","Domenico da Cortona, Fra Giocondo","","37400 Amboise, France",1495,"ARCHITECTURE","https://www.loirevalley-france.co.uk/sites/default/files/visionneuse/image/amboise_7663_l_de_serres.jpg","","VENUE","","",false,"","RENAISSANCE"
"Le Mont Saint-Michel Abbey","William of Volpiano","","Le Mont Saint-Michel, France",1523,"ARCHITECTURE","https://www.rfi.ro/sites/default/files/styles/inside_content/public/articol/st_michel.png?itok=ckUJKeDT","","VENUE","","",false,"","GOTHIC"
"The Thinker","Auguste Rodin","","77 Rue de Varenne, 75007 Paris, France",1902,"SCULPTURE","http://www.oceanlight.com/stock-photo/le-penseur-musee-rodin-paris-picture-28173-741166.jpg","","WORK","","",false,"","REALISM"
"Bird in Space","Constantin Brancusi","","1000 5th Ave, New York, 10028, USA",1923,"SCULPTURE","https://collectionapi.metmuseum.org/api/collection/v1/iiif/486757/1004909/restricted","","WORK","","",false,"","MODERNISM"
"Dancing With Dandelions","Robin Wight","","Staffordshire, UK",2014,"SCULPTURE","https://www.udesign.es/wp-content/uploads/2019/04/UD-SCULTURES-2.jpg","","WORK","","",false,"","CONTEMPORARY"
"Nefertiti Bust","Thutmose","","Neues Museum Berlin, Germany",-1345,"SCULPTURE","https://upload.wikimedia.org/wikipedia/commons/1/1f/Nofretete_Neues_Museum.jpg","","WORK","","",false,"","ANCIENT"
"L'Annonciade Museum","Georges Grammont","","Georges Grammont, 83990 Saint-Tropez, France",1922,"PAINTING","https://static.seetheworld.com/image_uploader/photos/b1/original/enjoying-art-at-musee-de-l-annonciade-saint-tropez-saint-tropez.jpg","","VENUE","","",false,"","MODERNISM"
"The Louvre Museum","Pierre Lescot","","Rue de Rivoli, 75001 Paris, France",1793,"PAINTING","https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1295,h_720/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/djvwelyhrz8z9ufftnyk/PriorityAccessEntranceTickettotheLouvreMuseum.webp","","ART_OBJECT","","",false,"","RENAISSANCE"
"Rijksmuseum","Pierre Cuypers","","Museumstraat 1, 1071 XX Amsterdam, Netherlands",1808,"PAINTING","https://winterfestivalamsterdam.com/wp-content/uploads/2021/08/Rijksmuseum-John-Lewis-Marshall-scaled.jpg","","VENUE","","",false,"","BAROQUE"
"British Museum","Robert Smirke, J. R. Pope, J. J. Burnet, John Taylor","","Great Russell St, London WC1B, UK",1753,"PAINTING","https://youimg1.tripcdn.com/target/100s13000000u3nqm8913.jpg?proc=source%2Ftrip","","VENUE","","",false,"","RENAISSANCE"
"Livraria Lello & Irmão","Francisco Xavier Esteves","","R. das Carmelitas 144, 4050-161 Porto, Portugal",1881,"LITERATURE","https://static.saltinourhair.com/wp-content/uploads/2021/05/12103516/Livraria-Lello-porto2.jpg","","VENUE","","",false,"","ARTNOUVEAU"
"Strahov Library","Giovanni Dominik Orsi","","Strahovské nádvoří 132/1, 118 00 Praha, Czech Republic",1679,"LITERATURE","https://wecityguide.s3.amazonaws.com/wp-content/uploads/2020/03/08105134/Interior-of-The-Clementinum-and-the-National-Library.jpeg","","VENUE","","",false,"","GOTHIC"
"Library of Trinity College Dublin","Thomas Burgh","","College Street, Dublin 2, Ireland",1592,"LITERATURE","https://images.unsplash.com/photo-1505664194779-8beaceb93744?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80","","VENUE","","",false,"","RENAISSANCE"
"Royal Portuguese Cabinet of Reading","Rafael da Silva Castro","","R. Luís de Camões, 30, Rio de Janeiro, Brazil",1837,"LITERATURE","https://media.cntraveler.com/photos/59cdea7d4c1bc3060f9b34a0/master/w_1600%2Cc_limit/Royal-Portuguese-Reading-Room-GettyImages-530795685.jpg","","VENUE","","",false,"","RENAISSANCE"
"Swan Lake","","","London Coliseum, St Martin's Ln, London, UK",null,"BALLET_THEATRE","https://i1.sndcdn.com/artworks-000611708353-qh2fmo-t500x500.jpg","","EVENT","","",true,"COMPLETED","ROMANTICISM"
"The Phantom of the Opera","","","Her Majesty's Theatre, London, UK",null,"BALLET_THEATRE","https://cdn.londonandpartners.com/-/media/images/london/visit/whats-on/theatre/the-phantom-of-the-opera/poto_visit-london_1920x1080.jpg?mw=640&hash=69678390596E8321E25E05220FC15549DCE3E6A","","EVENT","","",true,"CANCELLED","ROMANTICISM"
"Ludovico Einaudi - La Seine Musicale","","","La Seine Musicale, Île Seguin, Boulogne-Billancourt, France",null,"MUSIC","https://www.laseinemusicale.com/app/uploads/2022/06/ludovico-einaudi-la-seine-musicale-2.png","","EVENT","","",true,"UPCOMING","CONTEMPORARY"
"George Enescu International Festival","","","Romanian Athenaeum, 050204, Bucharest, Romania",null,"MUSIC","https://www.ziarulmetropolis.ro/wp-content/uploads/2020/10/slide-1.jpg","","EVENT","","",true,"UPCOMING","CONTEMPORARY"
"Art Safari","","","Pavilionul de Artă București",null,"PAINTING","https://www.artsafari.ro/wp-content/uploads/2022/08/cover-editia-10.png","","EVENT","","",true,"UPCOMING","CONTEMPORARY"
