"name","author","location","category","movement",year,isTemporary,"imageLink"
"Chateau de Chambord","Domenico da Cortona","Chateau, 41250, Chambord, France","ARCHITECTURE",RENAISSANCE,1547,false,"https://royal-connection.fr/wp-content/uploads/2017/05/excursion-chateau-chambord.jpg"
"Notre-Dame de Paris","Jean de Chelles","Notre-Dame, 75004, Paris, France","ARCHITECTURE",GOTHIC,1345,false,"https://www.piatraonline.ro/userfiles/19370a59-92cf-454a-b230-f7886006c901/Image/2_v120.jpg"
"Casa Batllo","Antoni Gaudí","Pg. de Gracia, 43, 08007, Barcelona, Spania","ARCHITECTURE",ARTNOUVEAU,1912,false,"https://www.artmajeur.com/medias/hd/r/a/radu-bercan/artwork/13405976_dsc05184af.jpg"
"Palacio da Pena","Wilhelm Ludwig von Eschwege, Nicolau Pires","Estrada da Pena, 2710, Sintra, Portugal","ARCHITECTURE",ROMANTICISM,1854,false,"https://tourscanner.com/blog/wp-content/uploads/2019/05/Pena-Palace-tickets-1.png"
"Chateau d'Amboise","Domenico da Cortona, Fra Giocondo","37400 Amboise, France","ARCHITECTURE",RENAISSANCE,1495,false,"https://www.loirevalley-france.co.uk/sites/default/files/visionneuse/image/amboise_7663_l_de_serres.jpg"
"Le Mont Saint-Michel Abbey","William of Volpiano","Le Mont Saint-Michel, Franța","ARCHITECTURE",GOTHIC,1523,false,"https://www.rfi.ro/sites/default/files/styles/inside_content/public/articol/st_michel.png?itok=ckUJKeDT"
"The Thinker","Auguste Rodin","77 Rue de Varenne, 75007 Paris, France","SCULPTURE",REALISM,1902,false,"http://www.oceanlight.com/stock-photo/le-penseur-musee-rodin-paris-picture-28173-741166.jpg"
"Bird in Space","Constantin Brancusi","1000 5th Ave, New York, 10028, USA","SCULPTURE",MODERNISM,1923,false,"https://collectionapi.metmuseum.org/api/collection/v1/iiif/486757/1004909/restricted"
"Dancing With Dandelions","Robin Wight","Staffordshire, UK","SCULPTURE",CONTEMPORARY,2014,false,"https://www.udesign.es/wp-content/uploads/2019/04/UD-SCULTURES-2.jpg"
"Nefertiti Bust","Thutmose","Neues Museum Berlin, Germany","SCULPTURE",ANCIENT,1345,false,"https://upload.wikimedia.org/wikipedia/commons/1/1f/Nofretete_Neues_Museum.jpg"
"L'Annonciade Museum","Georges Grammont","Georges Grammont, 83990 Saint-Tropez, France","PAINTING",MODERNISM,1922,false,"https://static.seetheworld.com/image_uploader/photos/b1/original/enjoying-art-at-musee-de-l-annonciade-saint-tropez-saint-tropez.jpg"
"The Louvre Museum","Pierre Lescot","Rue de Rivoli, 75001 Paris, France","PAINTING",RENAISSANCE,1793,false,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1295,h_720/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/djvwelyhrz8z9ufftnyk/PriorityAccessEntranceTickettotheLouvreMuseum.webp"
"Rijksmuseum","Pierre Cuypers","Museumstraat 1, 1071 XX Amsterdam, Netherlands","PAINTING",BAROQUE,1808,false,"https://winterfestivalamsterdam.com/wp-content/uploads/2021/08/Rijksmuseum-John-Lewis-Marshall-scaled.jpg"
"British Museum","Robert Smirke, J. R. Pope, J. J. Burnet, John Taylor","Great Russell St, London WC1B, UK","PAINTING",RENAISSANCE,1753,false,"https://youimg1.tripcdn.com/target/100s13000000u3nqm8913.jpg?proc=source%2Ftrip"
"Livraria Lello & Irmão","Francisco Xavier Esteves","R. das Carmelitas 144, 4050-161 Porto, Portugal","LITERATURE",ARTNOUVEAU,1881,false,"https://static.saltinourhair.com/wp-content/uploads/2021/05/12103516/Livraria-Lello-porto2.jpg"
"Strahov Library","Giovanni Dominik Orsi","Strahovské nádvoří 132/1, 118 00 Praha, Czech Republic","LITERATURE",GOTHIC,1679,false,"https://wecityguide.s3.amazonaws.com/wp-content/uploads/2020/03/08105134/Interior-of-The-Clementinum-and-the-National-Library.jpeg"
"Library of Trinity College Dublin","Thomas Burgh","College Street, Dublin 2, Ireland","LITERATURE",RENAISSANCE,1592,false,"https://images.unsplash.com/photo-1505664194779-8beaceb93744?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80"
"Royal Portuguese Cabinet of Reading","Rafael da Silva Castro","R. Luís de Camões, 30, Rio de Janeiro, Brazilia","LITERATURE",RENAISSANCE,1837,false,"https://media.cntraveler.com/photos/59cdea7d4c1bc3060f9b34a0/master/w_1600%2Cc_limit/Royal-Portuguese-Reading-Room-GettyImages-530795685.jpg"
